active_calories,active_time,activity_type,current_activity_type_intensity,cycles,distance,duration_min,heart_rate,moderate_activity_minutes,timestamp,timestamp16
,,,,,,,115,,2025-11-23T15:14:00.000Z,55480
303,1.4797711783270068e-38,,134,1.0620441061117789e-41,,,,,2025-11-23T15:14:00.000Z,55480
,,,,,,,108,,2025-11-23T15:15:00.000Z,55540
53,2.0178697886277366e-39,,224,0,,,,,2025-11-23T15:15:00.000Z,55540
,,,,,,,109,,2025-11-23T15:16:00.000Z,55600
309,1.4881789691129557e-38,,134,1.0672289104297807e-41,,,,,2025-11-23T15:16:00.000Z,55600
,,,,,,,120,,2025-11-23T15:17:00.000Z,55660
57,2.1019476964872256e-39,,192,0,,,,,2025-11-23T15:17:00.000Z,55660
,,,,,,,122,,2025-11-23T15:19:00.000Z,55780
319,1.5049945506848535e-38,,38,1.0770379996800544e-41,,,,,2025-11-23T15:19:00.000Z,55780
,,,,,,,126,,2025-11-23T15:20:00.000Z,55840
25,6.726232628759122e-40,,129,6.389920997321166e-43,,,,,2025-11-23T15:20:00.000Z,55840
